01.jpg:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34, 54, 58, 7, 47, 28, 8, 0, 70, 94, 74, 52, 40, 40, 79, 90, 80, 0, 60, 92, 49, 0, 0, 0, 0, 60, 94, 62, 100, 100, 50, 0, 0, 0, 0, 60, 100, 100, 100, 100, 48, 0, 0, 0, 0, 60, 100, 100, 69, 88, 90, 74, 38, 0, 30, 71, 84, 20, 0, 16, 20, 32, 69, 59, 66, 42, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
02.jpg:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 10, 11, 48, 19, 10, 8, 0, 70, 94, 91, 77, 38, 0, 69, 92, 92, 58, 90, 90, 42, 0, 0, 0, 0, 48, 84, 54, 80, 80, 37, 0, 0, 0, 0, 29, 66, 74, 97, 82, 39, 0, 0, 0, 0, 47, 79, 100, 67, 79, 68, 52, 40, 37, 77, 66, 54, 70, 0, 16, 9, 18, 70, 70, 70, 40, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
11.jpg:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 9, 56, 60, 60, 58, 20, 20, 20, 22, 40, 40, 99, 100, 100, 100, 90, 88, 40, 40, 0, 0, 100, 100, 100, 100, 0, 0, 0, 0, 0, 0, 100, 100, 82, 80, 0, 0, 0, 0, 0, 0, 79, 80, 33, 27, 0, 0, 0, 0, 0, 0, 90, 90, 97, 95, 0, 0, 0, 0, 0, 0, 20, 20, 70, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
12.jpg:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 56, 60, 4, 0, 20, 23, 69, 72, 90, 89, 96, 100, 71, 68, 90, 88, 39, 40, 0, 0, 59, 60, 100, 100, 0, 0, 0, 0, 0, 0, 80, 80, 100, 100, 0, 0, 0, 0, 0, 0, 28, 30, 100, 100, 0, 0, 0, 0, 0, 0, 98, 100, 100, 100, 0, 0, 0, 0, 0, 0, 69, 70, 70, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
21.jpg:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40, 60, 60, 60, 60, 28, 8, 0, 70, 82, 90, 78, 40, 40, 79, 90, 92, 58, 40, 10, 0, 0, 0, 0, 0, 60, 94, 62, 0, 0, 0, 0, 2, 28, 65, 76, 70, 30, 0, 0, 0, 22, 80, 73, 40, 13, 0, 0, 40, 73, 90, 75, 60, 40, 40, 40, 40, 36, 20, 58, 70, 58, 24, 67, 70, 70, 60, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
22.jpg:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40, 58, 59, 59, 60, 28, 8, 0, 70, 94, 91, 67, 3, 38, 79, 90, 92, 58, 40, 40, 18, 0, 0, 0, 0, 60, 94, 62, 0, 0, 0, 0, 2, 29, 65, 76, 70, 30, 0, 0, 18, 28, 35, 75, 40, 13, 0, 0, 40, 9, 60, 80, 22, 37, 40, 40, 40, 36, 69, 62, 66, 66, 60, 68, 33, 20, 33, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
31.jpg:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40, 46, 13, 53, 22, 5, 0, 0, 60, 84, 63, 39, 38, 37, 85, 83, 56, 0, 0, 0, 0, 5, 19, 0, 80, 66, 32, 0, 0, 0, 0, 24, 80, 0, 64, 76, 69, 28, 30, 30, 14, 0, 0, 0, 0, 29, 63, 100, 69, 88, 63, 39, 40, 40, 40, 70, 91, 70, 0, 16, 20, 32, 70, 70, 70, 42, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32.jpg:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40, 60, 60, 57, 22, 5, 0, 0, 0, 71, 63, 40, 40, 39, 85, 83, 56, 0, 0, 0, 0, 5, 20, 19, 51, 67, 72, 0, 0, 0, 0, 6, 31, 74, 80, 76, 70, 28, 30, 29, 14, 0, 0, 0, 0, 60, 100, 100, 69, 55, 49, 40, 40, 39, 9, 60, 94, 70, 0, 16, 50, 70, 70, 70, 62, 36, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
41.jpg:[0, 0, 0, 0, 0, 0, 22, 46, 0, 0, 0, 0, 0, 0, 5, 32, 60, 47, 0, 0, 0, 0, 0, 12, 58, 88, 100, 80, 0, 0, 0, 0, 53, 76, 41, 49, 100, 80, 0, 0, 30, 65, 41, 11, 0, 50, 94, 64, 0, 0, 100, 100, 82, 80, 80, 83, 86, 79, 73, 24, 20, 20, 20, 20, 19, 56, 81, 47, 19, 17, 0, 0, 0, 0, 0, 33, 51, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
42.jpg:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 23, 47, 0, 0, 0, 0, 0, 12, 64, 88, 80, 80, 0, 0, 0, 0, 53, 79, 66, 65, 100, 80, 0, 0, 30, 51, 74, 47, 15, 40, 88, 78, 0, 0, 99, 65, 60, 73, 80, 78, 85, 91, 80, 78, 20, 4, 0, 13, 19, 56, 100, 81, 20, 20, 0, 0, 0, 0, 0, 33, 70, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
