0:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22, 32, 34, 27, 33, 19, 8, 0, 70, 94, 82, 64, 39, 20, 74, 91, 86, 29, 75, 91, 45, 0, 0, 0, 0, 54, 89, 58, 90, 90, 43, 0, 0, 0, 0, 44, 83, 87, 98, 91, 43, 0, 0, 0, 0, 53, 89, 100, 68, 83, 79, 63, 39, 18, 53, 68, 69, 45, 0, 16, 14, 25, 69, 64, 68, 41, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 56, 60, 32, 29, 20, 21, 44, 47, 65, 64, 97, 100, 85, 84, 90, 88, 39, 40, 0, 0, 79, 80, 100, 100, 0, 0, 0, 0, 0, 0, 90, 90, 91, 90, 0, 0, 0, 0, 0, 0, 53, 55, 66, 63, 0, 0, 0, 0, 0, 0, 94, 95, 98, 97, 0, 0, 0, 0, 0, 0, 44, 45, 70, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40, 59, 59, 59, 60, 28, 8, 0, 70, 88, 90, 72, 21, 39, 79, 90, 92, 58, 40, 25, 9, 0, 0, 0, 0, 60, 94, 62, 0, 0, 0, 0, 2, 28, 65, 76, 70, 30, 0, 0, 9, 25, 57, 74, 40, 13, 0, 0, 40, 41, 75, 77, 41, 38, 40, 40, 40, 36, 44, 60, 68, 62, 42, 67, 51, 45, 46, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
3:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40, 53, 36, 55, 22, 5, 0, 0, 30, 77, 63, 39, 39, 38, 85, 83, 56, 0, 0, 0, 0, 5, 19, 9, 65, 66, 52, 0, 0, 0, 0, 15, 55, 37, 72, 76, 69, 28, 30, 29, 14, 0, 0, 0, 0, 44, 81, 100, 69, 71, 56, 39, 40, 39, 24, 65, 92, 70, 0, 16, 35, 51, 70, 70, 66, 39, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
4:[0, 0, 0, 0, 0, 0, 11, 23, 0, 0, 0, 0, 0, 0, 5, 19, 41, 47, 0, 0, 0, 0, 0, 12, 61, 88, 90, 80, 0, 0, 0, 0, 53, 77, 53, 57, 100, 80, 0, 0, 30, 58, 57, 29, 7, 45, 91, 71, 0, 0, 99, 82, 71, 76, 80, 80, 85, 85, 76, 51, 20, 12, 10, 16, 19, 56, 90, 64, 19, 18, 0, 0, 0, 0, 0, 33, 60, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
5:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 60, 60, 60, 60, 59, 57, 48, 0, 19, 66, 72, 58, 40, 39, 25, 20, 16, 0, 79, 90, 50, 24, 70, 68, 64, 37, 16, 0, 80, 71, 40, 18, 30, 29, 18, 57, 86, 64, 15, 15, 7, 0, 0, 0, 0, 53, 88, 78, 34, 78, 53, 24, 39, 19, 4, 60, 93, 63, 0, 16, 30, 44, 69, 64, 61, 36, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
6:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23, 38, 59, 59, 60, 28, 4, 0, 9, 68, 85, 71, 21, 39, 40, 57, 72, 58, 83, 82, 42, 5, 20, 20, 20, 9, 0, 0, 100, 82, 74, 68, 80, 78, 59, 66, 67, 14, 100, 97, 55, 10, 0, 0, 0, 60, 98, 89, 20, 68, 50, 24, 40, 40, 40, 71, 89, 45, 0, 8, 42, 66, 70, 70, 70, 42, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
7:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 35, 50, 60, 59, 58, 39, 48, 60, 58, 40, 40, 40, 40, 38, 19, 33, 71, 80, 20, 0, 0, 0, 0, 5, 65, 70, 41, 16, 0, 0, 0, 0, 22, 78, 72, 40, 12, 0, 0, 0, 0, 0, 25, 90, 98, 29, 0, 0, 0, 0, 0, 54, 88, 94, 17, 6, 0, 0, 0, 0, 0, 27, 51, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
8:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40, 60, 60, 59, 38, 16, 8, 0, 70, 94, 70, 40, 40, 40, 26, 67, 94, 68, 89, 91, 52, 10, 10, 19, 20, 51, 83, 90, 15, 50, 52, 47, 68, 77, 80, 86, 79, 28, 80, 86, 44, 0, 0, 0, 0, 53, 90, 100, 64, 59, 41, 20, 21, 38, 40, 71, 94, 70, 0, 8, 26, 42, 64, 44, 46, 31, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
9:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25, 39, 58, 33, 52, 28, 4, 0, 40, 81, 66, 39, 38, 20, 34, 52, 63, 68, 84, 50, 19, 0, 0, 0, 7, 59, 98, 100, 29, 64, 65, 54, 56, 77, 72, 85, 95, 79, 0, 0, 18, 30, 30, 28, 8, 45, 80, 100, 29, 60, 44, 24, 39, 18, 61, 72, 67, 20, 0, 8, 36, 57, 69, 63, 45, 26, 16, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
